name,address,city,state,zip,latitude,longitude,website,top10perc,top25perc,sfratio,enrolled_total,average_tuition,perc_fresh_sat_scores,perc_fresh_act_scores,instate_price,outstate_price,gradrate_bachelor_four_years,gradrate_bachelor_five_years,gradrate_bachelor_six_years,perc_fresh_financialaid,undergraduate_enrollment,ft_enrollment,pt_enrollment,perc_americanindian_or_alaskanative_undergrad,perc_asian_undergrad,perc_blackafricanamerican_undergrad,perc_hispaniclatino_undergrad,perc_nativehawaiian_or_otherpacificislander_undergrad,perc_white_undergrad,perc_multiracial_undergrad,perc_raceunknown_undergrad,perc_nonresidentalien_undergrad,perc_asiannativehawaiianpacificislander_undergrad,perc_women_undergrad,far_west_region,great_lakes_region,mid_east_region,new_england_region,plains_region,rocky_mountains_region,southeast_region,southwest_region,us_service_schools_region,cluster
Alcorn State University,1000 Asu Dr Ste 359,Alcorn State,MS,39096,31.877216,-91.142854,www.alcorn.edu,,,,575.0,5.48125,5.0,95.0,20984.0,20984.0,18.0,28.0,34.0,77.0,3157.0,2917.0,931.0,0,0.0,93.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,65.0,0,0,0,0,0,0,1,0,0,1
Alfred University,One Saxon Drive,Alfred,NY,14802,42.255866,-77.788625,www.alfred.edu,37,75,11.3,535.0,26.521,92.0,30.0,39948.0,39948.0,45.0,61.0,62.0,100.0,1960.0,2079.0,352.0,0,2.0,8.0,7.0,0.0,66.0,3.0,12.0,3.0,2.0,51.0,0,0,1,0,0,0,0,0,0,0
Alice Lloyd College,100 Purpose Rd,Pippa Passes,KY,41844,37.335087,-82.875068,www.alc.edu,,,,189.0,9.955,2.0,98.0,21800.0,21800.0,21.0,31.0,32.0,100.0,631.0,606.0,25.0,0,0.0,1.0,1.0,0.0,96.0,0.0,1.0,0.0,0.0,54.0,0,0,0,0,0,0,1,0,0,1
Alma College,614 W Superior,Alma,MI,48801,43.379236,-84.670073,www.alma.edu,44,73,15.3,376.0,30.1075,54.0,98.0,44287.0,44287.0,43.0,61.0,61.0,100.0,1419.0,1378.0,41.0,1,2.0,2.0,3.0,0.0,86.0,2.0,3.0,1.0,2.0,55.0,0,1,0,0,0,0,0,0,0,0
Alvernia University,400 Saint Bernardine St,Reading,PA,19607,40.310028,-75.936754,www.alvernia.edu,,,,389.0,27.28,97.0,17.0,43250.0,43250.0,35.0,49.0,51.0,100.0,2371.0,1824.0,1047.0,0,1.0,13.0,7.0,0.0,71.0,2.0,5.0,0.0,1.0,72.0,0,0,1,0,0,0,0,0,0,0
Alverno College,3400 S 43Rd  St,Milwaukee,WI,53234,42.982842,-87.965174,www.alverno.edu,23,46,11.1,208.0,21.6215,2.0,93.0,34889.0,34889.0,11.0,30.0,39.0,100.0,1862.0,1750.0,786.0,1,5.0,18.0,18.0,0.0,54.0,3.0,0.0,2.0,5.0,100.0,0,1,0,0,0,0,0,0,0,0
American International College,1000 State Street,Springfield,MA,1109,42.112708,-72.558507,www.aic.edu,9,22,14.7,346.0,28.45,90.0,8.0,44900.0,44900.0,28.0,42.0,45.0,100.0,1513.0,1722.0,1935.0,0,2.0,25.0,8.0,1.0,44.0,4.0,15.0,1.0,2.0,58.0,0,0,0,1,0,0,0,0,0,0
American University,4400 Massachusetts Ave Nw,Washington,DC,20016,38.936981,-77.088785,www.american.edu,,,,1627.0,38.729,67.0,35.0,56808.0,56808.0,76.0,79.0,80.0,80.0,7340.0,10233.0,2585.0,0,6.0,6.0,10.0,0.0,55.0,5.0,9.0,8.0,6.0,61.0,0,0,1,0,0,0,0,0,0,2
Anderson University,1100 E 5Th St,Anderson,IN,46012,40.112162,-85.66342,www.anderson.edu,19,40,12.1,444.0,25.1125,76.0,62.0,39390.0,39390.0,45.0,56.0,57.0,100.0,2016.0,1797.0,645.0,0,1.0,9.0,2.0,0.0,79.0,0.0,5.0,3.0,1.0,60.0,0,1,0,0,0,0,0,0,0,0
Anderson University,1100 E 5Th St,Anderson,IN,46012,40.112162,-85.66342,www.anderson.edu,19,40,12.1,444.0,25.1125,76.0,62.0,39390.0,39390.0,45.0,56.0,57.0,100.0,2016.0,1797.0,645.0,0,1.0,9.0,2.0,0.0,79.0,0.0,5.0,3.0,1.0,60.0,0,1,0,0,0,0,0,0,0,0
Andrews University,"4150 Administration Drive, Room 136",Berrien Springs,MI,49104,41.962449,-86.357045,www.andrews.edu,14,23,11.5,388.0,23.9045,47.0,66.0,35538.0,35538.0,29.0,52.0,60.0,100.0,1905.0,2324.0,1192.0,0,12.0,22.0,13.0,0.0,30.0,3.0,2.0,17.0,13.0,56.0,0,1,0,0,0,0,0,0,0,0
Angelo State University,2601 W. Avenue N,San Angelo,TX,76909,31.441098,-100.46641,www.angelo.edu,24,54,23.1,1220.0,6.19225,58.0,68.0,18915.0,27411.0,14.0,25.0,30.0,93.0,5473.0,5177.0,1359.0,0,1.0,8.0,30.0,0.0,54.0,2.0,0.0,3.0,1.0,54.0,0,0,0,0,0,0,0,1,0,1
Appalachian State University,Dougherty Administration Building,Boone,NC,28608,36.213551,-81.681065,www.appstate.edu/,20,63,18.3,3028.0,5.8275,88.0,19.0,19058.0,31266.0,42.0,64.0,69.0,67.0,16025.0,16021.0,1817.0,0,1.0,3.0,4.0,0.0,86.0,2.0,2.0,1.0,1.0,53.0,0,0,0,0,0,0,1,0,0,1
Aquinas College,1607 Robinson Road Se,Grand Rapids,MI,49506,42.960647,-85.625303,www.aquinas.edu,20,51,12.7,391.0,24.8005,0.0,100.0,38012.0,38012.0,30.0,53.0,59.0,99.0,1863.0,1649.0,352.0,0,1.0,3.0,5.0,0.0,85.0,2.0,3.0,1.0,1.0,62.0,0,1,0,0,0,0,0,0,0,0
Aquinas College,1607 Robinson Road Se,Grand Rapids,MI,49506,42.960647,-85.625303,www.aquinas.edu,20,51,12.7,391.0,24.8005,0.0,100.0,38012.0,38012.0,30.0,53.0,59.0,99.0,1863.0,1649.0,352.0,0,1.0,3.0,5.0,0.0,85.0,2.0,3.0,1.0,1.0,62.0,0,1,0,0,0,0,0,0,0,0
Arcadia University,450 S Easton Rd,Glenside,PA,19038,40.091941,-75.165205,www.arcadia.edu,,,,597.0,34.825,92.0,17.0,51970.0,51970.0,53.0,58.0,61.0,100.0,2453.0,2844.0,1061.0,0,5.0,9.0,5.0,0.0,73.0,4.0,3.0,2.0,5.0,68.0,0,0,1,0,0,0,0,0,0,2
Arizona Christian University,2625 E Cactus Rd,Phoenix,AZ,85032,33.595117,-112.026211,www.arizonachristian.edu,,,,90.0,19.5035,39.0,57.0,35382.0,35382.0,28.0,46.0,47.0,99.0,635.0,454.0,181.0,1,2.0,5.0,13.0,0.0,61.0,3.0,13.0,3.0,2.0,50.0,0,0,0,0,0,0,0,1,0,0
Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,AR,72401,35.843634,-90.677872,www2.astate.edu,,,,1619.0,7.066,1.0,95.0,20014.0,25624.0,19.0,31.0,36.0,95.0,10098.0,8384.0,5168.0,0,1.0,14.0,2.0,0.0,74.0,2.0,1.0,6.0,1.0,58.0,0,0,0,0,0,0,1,0,0,1
Arkansas Tech University,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,72801,35.295227,-93.13233,www.atu.edu,12,52,19.6,1755.0,5.1895,1.0,84.0,16086.0,20862.0,21.0,36.0,41.0,95.0,10482.0,7283.0,4086.0,1,1.0,7.0,6.0,0.0,79.0,3.0,0.0,3.0,1.0,54.0,0,0,0,0,0,0,1,0,0,1
Armstrong Atlantic State University,11935 Abercorn St,Savannah,GA,31419,31.978109,-81.160409,www.armstrong.edu,,,,1128.0,4.84775,80.0,36.0,21373.0,31135.0,10.0,26.0,34.0,91.0,6377.0,4987.0,2114.0,0,4.0,24.0,7.0,0.0,60.0,4.0,0.0,2.0,4.0,67.0,0,0,0,0,0,0,1,0,0,1
Asbury University,1 Macklem Dr,Wilmore,KY,40390,37.862029,-84.662606,www.asbury.edu,,,,322.0,24.72975,32.0,83.0,35494.0,35494.0,56.0,63.0,64.0,99.0,1547.0,1390.0,407.0,0,1.0,3.0,2.0,0.0,84.0,4.0,4.0,2.0,1.0,60.0,0,0,0,0,0,0,1,0,0,0
Ashland University,401 College Ave,Ashland,OH,44805,40.861616,-82.320279,www.ashland.edu,,,,623.0,28.672,11.0,94.0,42833.0,42833.0,42.0,54.0,56.0,97.0,3198.0,3444.0,2535.0,1,0.0,13.0,2.0,0.0,79.0,1.0,0.0,3.0,1.0,51.0,0,1,0,0,0,0,0,0,0,0
Auburn University,"Auburn, Alabama",Auburn University,AL,36849,32.600201,-85.492409,www.auburn.edu,,,,3726.0,8.974,17.0,83.0,25282.0,41794.0,38.0,63.0,68.0,76.0,19799.0,21093.0,3771.0,1,2.0,7.0,3.0,0.0,85.0,0.0,1.0,1.0,2.0,49.0,0,0,0,0,0,0,1,0,0,3
Auburn University At Montgomery,7440 East Drive,Montgomery,AL,36117,32.369939,-86.177351,www.aum.edu,,,,579.0,7.775,0.0,54.0,17820.0,34020.0,10.0,22.0,27.0,90.0,4322.0,3223.0,1861.0,0,2.0,30.0,1.0,0.0,55.0,0.0,6.0,4.0,2.0,62.0,0,0,0,0,0,0,1,0,0,1
Augsburg College,2211 Riverside Ave,Minneapolis,MN,55454,44.965636,-93.241418,www.augsburg.edu,12,30,12.8,380.0,31.10825,6.0,93.0,45465.0,45465.0,47.0,62.0,64.0,99.0,2716.0,2567.0,987.0,1,7.0,9.0,6.0,0.0,60.0,4.0,11.0,2.0,7.0,55.0,0,0,0,0,1,0,0,0,0,0
Augustana College,639 38Th St,Rock Island,IL,61201,41.503167,-90.548276,www.augustana.edu,21,58,10.4,367.0,27.026,2.0,88.0,38200.0,38200.0,48.0,65.0,66.0,100.0,1697.0,1586.0,179.0,0,1.0,2.0,2.0,0.0,86.0,2.0,0.0,8.0,1.0,59.0,0,0,0,0,1,0,0,0,0,0
Aurora University,347 S Gladstone Ave,Aurora,IL,60506,41.754358,-88.349445,www.aurora.edu,,,,646.0,19.7425,7.0,93.0,33228.0,33228.0,44.0,56.0,58.0,100.0,3246.0,3342.0,1604.0,0,2.0,9.0,20.0,0.0,61.0,3.0,4.0,0.0,2.0,63.0,0,1,0,0,0,0,0,0,0,0
Austin College,900 N Grand Ave,Sherman,TX,75090,33.646307,-96.598772,www.austincollege.edu,42,74,13,364.0,31.79625,55.0,52.0,47625.0,47625.0,67.0,72.0,72.0,99.0,1207.0,1220.0,3.0,1,15.0,6.0,16.0,0.0,58.0,1.0,1.0,3.0,15.0,51.0,0,0,0,0,0,0,0,1,0,0
Austin Peay State University,601 College St,Clarksville,TN,37044,36.533319,-87.354081,www.apsu.edu,,,,1522.0,6.501,3.0,89.0,21513.0,36009.0,15.0,30.0,36.0,99.0,9550.0,7150.0,3249.0,0,1.0,19.0,6.0,0.0,66.0,5.0,2.0,0.0,2.0,60.0,0,0,0,0,0,0,1,0,0,1
Ave Maria University,5050 Ave Maria Blvd,Ave Maria,FL,34142,26.33711,-81.441082,www.avemaria.edu,,,,254.0,20.80275,69.0,64.0,36860.0,36860.0,55.0,58.0,58.0,100.0,906.0,965.0,23.0,0,2.0,6.0,15.0,0.0,53.0,0.0,21.0,3.0,2.0,48.0,0,0,0,0,0,0,1,0,0,0
Averett University,420 W Main St,Danville,VA,24541,36.577273,-79.413214,www.averett.edu,,,,241.0,25.2215,83.0,35.0,39124.0,39124.0,18.0,27.0,33.0,100.0,877.0,864.0,42.0,1,1.0,24.0,4.0,0.0,62.0,0.0,0.0,7.0,1.0,50.0,0,0,0,0,0,0,1,0,0,0
Avila University,11901 Wornall Rd,Kansas City,MO,64145,38.91339,-94.591758,www.avila.edu,,,,182.0,23.475,6.0,94.0,36414.0,36414.0,26.0,47.0,49.0,100.0,1401.0,1526.0,445.0,1,1.0,19.0,7.0,0.0,60.0,3.0,0.0,8.0,1.0,65.0,0,0,0,0,1,0,0,0,0,0
Azusa Pacific University,901 E Alosta,Azusa,CA,91702,34.13057,-117.888312,www.apu.edu,,,,1250.0,30.518,86.0,42.0,45996.0,45996.0,47.0,63.0,65.0,92.0,6543.0,7783.0,2972.0,0,8.0,5.0,23.0,1.0,50.0,6.0,6.0,2.0,9.0,64.0,1,0,0,0,0,0,0,0,0,2
Bacone College,2299 Old Bacone Rd,Muskogee,OK,74403,35.777197,-95.335494,www.bacone.edu,,,,249.0,13.19,24.0,65.0,28010.0,28010.0,0.0,2.0,3.0,88.0,965.0,851.0,114.0,26,3.0,30.0,8.0,1.0,19.0,3.0,11.0,0.0,4.0,37.0,0,0,0,0,0,0,0,1,0,1
Baker University,618 Eighth Street,Baldwin City,KS,66006,38.777278,-95.188231,www.bakeru.edu,21,47,11,235.0,23.95,9.0,100.0,39407.0,39407.0,36.0,49.0,52.0,100.0,1897.0,1315.0,1761.0,2,1.0,10.0,5.0,0.0,73.0,1.0,7.0,0.0,2.0,57.0,0,0,0,0,1,0,0,0,0,0
Baldwin Wallace University,275 Eastland Rd,Berea,OH,44017,41.373296,-81.849112,www.bw.edu,,,,762.0,26.639,34.0,78.0,39230.0,39230.0,55.0,69.0,71.0,100.0,3425.0,3363.0,690.0,0,1.0,9.0,5.0,0.0,80.0,4.0,1.0,1.0,1.0,55.0,0,1,0,0,0,0,0,0,0,0
Ball State University,2000 University Ave,Muncie,IN,47306,40.19997,-85.408777,www.bsu.edu,,,,3616.0,8.728,58.0,41.0,22250.0,37214.0,35.0,56.0,60.0,87.0,16300.0,16588.0,3915.0,0,1.0,7.0,3.0,0.0,82.0,2.0,2.0,3.0,1.0,58.0,0,1,0,0,0,0,0,0,0,3
Barnard College,3009 Broadway,New York,NY,10027,40.809137,-73.964027,www.barnard.edu,53,95,10.3,580.0,42.7555,73.0,47.0,61512.0,61512.0,82.0,88.0,90.0,49.0,2489.0,2463.0,26.0,0,15.0,5.0,11.0,0.0,57.0,5.0,0.0,7.0,15.0,100.0,0,0,1,0,0,0,0,0,0,2
Barry University,11300 Ne 2Nd Ave,Miami,FL,33161,25.878605,-80.196366,www.barry.edu,18,45,12.6,576.0,27.92,77.0,40.0,45100.0,45100.0,22.0,35.0,37.0,97.0,4341.0,5887.0,3143.0,0,1.0,32.0,29.0,0.0,20.0,1.0,8.0,8.0,1.0,62.0,0,0,0,0,0,0,1,0,0,0
Barton College,200 Acc Drive Ne,Wilson,NC,27893,35.735463,-77.913805,www.barton.edu,,,,217.0,23.5855,77.0,63.0,39254.0,39254.0,41.0,47.0,48.0,100.0,1057.0,906.0,159.0,1,1.0,25.0,4.0,0.0,59.0,3.0,6.0,2.0,1.0,69.0,0,0,0,0,0,0,1,0,0,0
Baylor University,500 Speight Ave.,Waco,TX,76798,31.54615,-97.118453,www.baylor.edu,34,66,18.5,3190.0,32.8075,49.0,51.0,53886.0,53886.0,57.0,73.0,75.0,96.0,13292.0,15016.0,600.0,0,6.0,7.0,14.0,0.0,64.0,5.0,0.0,3.0,6.0,58.0,0,0,0,0,0,0,0,1,0,2
Bay Path College,588 Longmeadow Street,Longmeadow,MA,1106,42.055364,-72.583974,www.baypath.edu,,,,135.0,27.76275,96.0,7.0,44559.0,44559.0,46.0,53.0,55.0,100.0,1458.0,1588.0,769.0,0,1.0,12.0,15.0,0.0,59.0,2.0,10.0,0.0,2.0,100.0,0,0,0,1,0,0,0,0,0,0
Becker College,61 Sever St,Worcester,MA,1609,42.26918,-71.811895,www.becker.edu,,,,361.0,29.3025,89.0,12.0,47160.0,47160.0,16.0,24.0,24.0,100.0,1902.0,1449.0,453.0,0,1.0,8.0,9.0,0.0,66.0,3.0,11.0,1.0,1.0,57.0,0,0,0,1,0,0,0,0,0,0
Belhaven University,1500 Peachtree St,Jackson,MS,39202,32.318415,-90.169228,www.belhaven.edu,,,,281.0,18.8225,19.0,57.0,34472.0,34472.0,25.0,36.0,37.0,100.0,2749.0,1411.0,2614.0,0,1.0,40.0,5.0,0.0,36.0,2.0,15.0,0.0,2.0,62.0,0,0,0,0,0,0,1,0,0,0
Bellarmine University,2001 Newburg Rd,Louisville,KY,40205,38.219138,-85.7049,www.bellarmine.edu,,,,676.0,32.6525,24.0,92.0,52574.0,52574.0,53.0,65.0,66.0,100.0,2593.0,2682.0,737.0,0,2.0,4.0,3.0,0.0,83.0,2.0,2.0,2.0,2.0,64.0,0,0,0,0,0,0,1,0,0,2
Belmont University,1900 Belmont Blvd,Nashville,TN,37212,36.133866,-86.794715,www.belmont.edu,28,67,11.1,1248.0,25.5375,43.0,78.0,43030.0,43030.0,56.0,67.0,68.0,87.0,5506.0,6102.0,813.0,0,2.0,4.0,4.0,0.0,82.0,3.0,4.0,1.0,2.0,60.0,0,0,0,0,0,0,1,0,0,0
Bemidji State University,1500 Birchmont Dr,Bemidji,MN,56601,47.482505,-94.874529,www.bemidjistate.edu,12,36,19.6,838.0,7.8965,0.0,96.0,18940.0,18940.0,26.0,42.0,46.0,90.0,4727.0,3551.0,1412.0,2,1.0,2.0,1.0,0.0,83.0,3.0,5.0,2.0,1.0,56.0,0,0,0,0,1,0,0,0,0,1
Benedictine College,1020 N 2Nd St,Atchison,KS,66002,39.573619,-95.112345,www.benedictine.edu,14,24,14.1,494.0,22.1625,14.0,84.0,37855.0,37855.0,43.0,58.0,59.0,100.0,2113.0,1796.0,381.0,0,1.0,3.0,6.0,0.0,81.0,3.0,2.0,3.0,1.0,52.0,0,0,0,0,1,0,0,0,0,0
Benedictine University,5700 College Rd,Lisle,IL,60532,41.776395,-88.095948,www.ben.edu,,,,635.0,24.01925,0.0,91.0,37636.0,37636.0,38.0,50.0,52.0,96.0,3828.0,3588.0,2730.0,0,14.0,10.0,8.0,0.0,44.0,0.0,21.0,2.0,14.0,61.0,0,1,0,0,0,0,0,0,0,0
Bentley University,175 Forest St,Waltham,MA,2452,42.388798,-71.220148,www.bentley.edu,,,,974.0,39.031,89.0,27.0,56930.0,56930.0,81.0,86.0,87.0,77.0,4247.0,4893.0,765.0,0,8.0,3.0,7.0,0.0,61.0,2.0,4.0,16.0,8.0,40.0,0,0,0,1,0,0,0,0,0,2
Berry College,2277 Martha Berry Hwy Nw,Mount Berry,GA,30149,34.289254,-85.189077,www.berry.edu,37,68,16.3,672.0,26.8625,47.0,53.0,43834.0,43834.0,50.0,58.0,60.0,100.0,2141.0,2122.0,101.0,0,1.0,4.0,6.0,0.0,84.0,3.0,1.0,1.0,1.0,62.0,0,0,0,0,0,0,1,0,0,0
Bethany College,Main Street,Bethany,WV,26032,40.205624,-80.561031,www.bethanywv.edu,16,41,11.6,184.0,21.908,29.0,77.0,35205.0,35205.0,27.0,38.0,39.0,98.0,665.0,603.0,62.0,1,1.0,12.0,11.0,0.0,64.0,4.0,7.0,0.0,1.0,40.0,0,0,0,0,1,0,0,0,0,0
Bethany College,Main Street,Bethany,WV,26032,40.205624,-80.561031,www.bethanywv.edu,16,41,11.6,184.0,21.908,29.0,77.0,35205.0,35205.0,27.0,38.0,39.0,98.0,665.0,603.0,62.0,1,1.0,12.0,11.0,0.0,64.0,4.0,7.0,0.0,1.0,40.0,0,0,0,0,1,0,0,0,0,0
Bethany Lutheran College,700 Luther Dr,Mankato,MN,56001,44.166485,-93.990744,www.blc.edu,,,,147.0,22.71,5.0,90.0,34150.0,34150.0,38.0,47.0,49.0,100.0,579.0,552.0,27.0,1,1.0,3.0,3.0,0.0,85.0,2.0,3.0,1.0,1.0,51.0,0,0,0,0,1,0,0,0,0,0
Bethel College-Indiana,1001 Bethel Circle,Mishawaka,IN,46545,41.678065,-86.191649,www.bethelcollege.edu,,,,250.0,23.8675,70.0,59.0,35430.0,35430.0,47.0,63.0,65.0,100.0,1655.0,1333.0,471.0,0,1.0,12.0,6.0,0.0,78.0,2.0,0.0,1.0,1.0,66.0,0,1,0,0,0,0,0,0,0,0
Bethel College-North Newton,300 E 27Th St,North Newton,KS,67117,38.075189,-97.343727,www.bethelks.edu,,,,123.0,22.125,24.0,76.0,35170.0,35170.0,39.0,48.0,53.0,100.0,482.0,464.0,18.0,1,1.0,13.0,10.0,0.0,71.0,3.0,0.0,2.0,1.0,51.0,0,0,0,0,1,0,0,0,0,0
Bethel University,325 Cherry Ave,Mckenzie,TN,38201,36.1393,-88.516257,www.bethelu.edu/,,,,612.0,30.035,8.0,95.0,44300.0,44300.0,63.0,71.0,71.0,100.0,3280.0,2942.0,1398.0,0,3.0,6.0,2.0,0.0,84.0,2.0,2.0,0.0,3.0,63.0,0,0,0,0,1,0,0,0,0,0
Bethel University,325 Cherry Ave,Mckenzie,TN,38201,36.1393,-88.516257,www.bethelu.edu/,,,,612.0,30.035,8.0,95.0,44300.0,44300.0,63.0,71.0,71.0,100.0,3280.0,2942.0,1398.0,0,3.0,6.0,2.0,0.0,84.0,2.0,2.0,0.0,3.0,63.0,0,0,0,0,1,0,0,0,0,0
Bethune-Cookman University,640 Dr Mary Mcleod Bethune Blvd,Daytona Beach,FL,32114,29.210522,-81.031548,www.cookman.edu,,,,1022.0,14.0655,49.0,64.0,27058.0,27058.0,23.0,43.0,49.0,99.0,3724.0,3671.0,116.0,0,0.0,89.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,59.0,0,0,0,0,0,0,1,0,0,1
Biola University,13800 Biola Ave,La Mirada,CA,90639,33.903955,-118.017319,www.biola.edu,,,,903.0,30.4765,85.0,40.0,46624.0,46624.0,49.0,64.0,68.0,96.0,4331.0,5107.0,1194.0,0,16.0,2.0,17.0,0.0,55.0,6.0,2.0,2.0,16.0,62.0,1,0,0,0,0,0,0,0,0,2
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,33.51304,-86.851894,www.bsc.edu/,,,,356.0,29.64,32.0,82.0,45470.0,45470.0,53.0,60.0,62.0,98.0,1188.0,1167.0,21.0,1,4.0,9.0,3.0,0.0,81.0,1.0,1.0,0.0,4.0,46.0,0,0,0,0,0,0,1,0,0,0
Blackburn College,700 College Ave,Carlinville,IL,62626,39.288298,-89.872248,www.blackburn.edu,25,55,14.3,116.0,16.825,4.0,94.0,26616.0,26616.0,34.0,45.0,45.0,99.0,543.0,523.0,20.0,1,0.0,9.0,1.0,0.0,87.0,1.0,0.0,0.0,0.0,58.0,0,1,0,0,0,0,0,0,0,1
Black Hills State University,1200 University St,Spearfish,SD,57799,44.495141,-103.871756,www.bhsu.edu,,,,619.0,7.328,5.0,89.0,17862.0,19862.0,11.0,27.0,31.0,92.0,4002.0,2526.0,1938.0,4,1.0,1.0,4.0,0.0,85.0,3.0,1.0,1.0,1.0,63.0,0,0,0,0,1,0,0,0,0,1
Bloomfield College,467 Franklin St,Bloomfield,NJ,7003,40.794218,-74.19593,www.bloomfield.edu/,,,,382.0,24.2575,96.0,0.0,41130.0,41130.0,14.0,31.0,36.0,96.0,1972.0,1776.0,203.0,0,4.0,50.0,22.0,0.0,13.0,1.0,7.0,3.0,4.0,65.0,0,0,1,0,0,0,0,0,0,0
