name,address,city,state,zip,latitude,longitude,website,average_tuition,top10perc,top25perc,sfratio
Appalachian State University,Dougherty Administration Building,Boone,NC,28608,36.213551,-81.681065,www.appstate.edu/,5.8275,20,63,18.3
Aquinas College,1607 Robinson Road Se,Grand Rapids,MI,49506,42.960647,-85.625303,www.aquinas.edu,24.8005,20,51,12.7
Aquinas College,1607 Robinson Road Se,Grand Rapids,MI,49506,42.960647,-85.625303,www.aquinas.edu,24.8005,20,51,12.7
Arcadia University,450 S Easton Rd,Glenside,PA,19038,40.091941,-75.165205,www.arcadia.edu,34.825,,,
Arizona Christian University,2625 E Cactus Rd,Phoenix,AZ,85032,33.595117,-112.026211,www.arizonachristian.edu,19.5035,,,
Arkansas State University-Main Campus,2105 E. Aggie Road,Jonesboro,AR,72401,35.843634,-90.677872,www2.astate.edu,7.066,,,
Arkansas Tech University,Administration Bldg 200; 1509 N Boulder Ave,Russellville,AR,72801,35.295227,-93.13233,www.atu.edu,5.1895,12,52,19.6
Armstrong Atlantic State University,11935 Abercorn St,Savannah,GA,31419,31.978109,-81.160409,www.armstrong.edu,4.84775,,,
Asbury University,1 Macklem Dr,Wilmore,KY,40390,37.862029,-84.662606,www.asbury.edu,24.72975,,,
Ashland University,401 College Ave,Ashland,OH,44805,40.861616,-82.320279,www.ashland.edu,28.672,,,
Auburn University,"Auburn, Alabama",Auburn University,AL,36849,32.600201,-85.492409,www.auburn.edu,8.974,,,
Auburn University At Montgomery,7440 East Drive,Montgomery,AL,36117,32.369939,-86.177351,www.aum.edu,7.775,,,
Augsburg College,2211 Riverside Ave,Minneapolis,MN,55454,44.965636,-93.241418,www.augsburg.edu,31.10825,12,30,12.8
Augustana College,639 38Th St,Rock Island,IL,61201,41.503167,-90.548276,www.augustana.edu,27.026,21,58,10.4
Aurora University,347 S Gladstone Ave,Aurora,IL,60506,41.754358,-88.349445,www.aurora.edu,19.7425,,,
Austin College,900 N Grand Ave,Sherman,TX,75090,33.646307,-96.598772,www.austincollege.edu,31.79625,42,74,13
Austin Peay State University,601 College St,Clarksville,TN,37044,36.533319,-87.354081,www.apsu.edu,6.501,,,
Ave Maria University,5050 Ave Maria Blvd,Ave Maria,FL,34142,26.33711,-81.441082,www.avemaria.edu,20.80275,,,
Averett University,420 W Main St,Danville,VA,24541,36.577273,-79.413214,www.averett.edu,25.2215,,,
Avila University,11901 Wornall Rd,Kansas City,MO,64145,38.91339,-94.591758,www.avila.edu,23.475,,,
Azusa Pacific University,901 E Alosta,Azusa,CA,91702,34.13057,-117.888312,www.apu.edu,30.518,,,
Bacone College,2299 Old Bacone Rd,Muskogee,OK,74403,35.777197,-95.335494,www.bacone.edu,13.19,,,
Baker University,618 Eighth Street,Baldwin City,KS,66006,38.777278,-95.188231,www.bakeru.edu,23.95,21,47,11
Baldwin Wallace University,275 Eastland Rd,Berea,OH,44017,41.373296,-81.849112,www.bw.edu,26.639,,,
Ball State University,2000 University Ave,Muncie,IN,47306,40.19997,-85.408777,www.bsu.edu,8.728,,,
Barnard College,3009 Broadway,New York,NY,10027,40.809137,-73.964027,www.barnard.edu,42.7555,53,95,10.3
Barry University,11300 Ne 2Nd Ave,Miami,FL,33161,25.878605,-80.196366,www.barry.edu,27.92,18,45,12.6
Barton College,200 Acc Drive Ne,Wilson,NC,27893,35.735463,-77.913805,www.barton.edu,23.5855,,,
Bay Path College,588 Longmeadow Street,Longmeadow,MA,1106,42.055364,-72.583974,www.baypath.edu,27.76275,,,
Baylor University,500 Speight Ave.,Waco,TX,76798,31.54615,-97.118453,www.baylor.edu,32.8075,34,66,18.5
Becker College,61 Sever St,Worcester,MA,1609,42.26918,-71.811895,www.becker.edu,29.3025,,,
Belhaven University,1500 Peachtree St,Jackson,MS,39202,32.318415,-90.169228,www.belhaven.edu,18.8225,,,
Bellarmine University,2001 Newburg Rd,Louisville,KY,40205,38.219138,-85.7049,www.bellarmine.edu,32.6525,,,
Belmont University,1900 Belmont Blvd,Nashville,TN,37212,36.133866,-86.794715,www.belmont.edu,25.5375,28,67,11.1
Bemidji State University,1500 Birchmont Dr,Bemidji,MN,56601,47.482505,-94.874529,www.bemidjistate.edu,7.8965,12,36,19.6
Benedictine College,1020 N 2Nd St,Atchison,KS,66002,39.573619,-95.112345,www.benedictine.edu,22.1625,14,24,14.1
Benedictine University,5700 College Rd,Lisle,IL,60532,41.776395,-88.095948,www.ben.edu,24.01925,,,
Bentley University,175 Forest St,Waltham,MA,2452,42.388798,-71.220148,www.bentley.edu,39.031,,,
Berry College,2277 Martha Berry Hwy Nw,Mount Berry,GA,30149,34.289254,-85.189077,www.berry.edu,26.8625,37,68,16.3
Bethany College,Main Street,Bethany,WV,26032,40.205624,-80.561031,www.bethanywv.edu,21.908,16,41,11.6
Bethany College,Main Street,Bethany,WV,26032,40.205624,-80.561031,www.bethanywv.edu,21.908,16,41,11.6
Bethany Lutheran College,700 Luther Dr,Mankato,MN,56001,44.166485,-93.990744,www.blc.edu,22.71,,,
Bethel College-Indiana,1001 Bethel Circle,Mishawaka,IN,46545,41.678065,-86.191649,www.bethelcollege.edu,23.8675,,,
Bethel College-North Newton,300 E 27Th St,North Newton,KS,67117,38.075189,-97.343727,www.bethelks.edu,22.125,,,
Bethel University,325 Cherry Ave,Mckenzie,TN,38201,36.1393,-88.516257,www.bethelu.edu/,30.035,,,
Bethel University,325 Cherry Ave,Mckenzie,TN,38201,36.1393,-88.516257,www.bethelu.edu/,30.035,,,
Bethune-Cookman University,640 Dr Mary Mcleod Bethune Blvd,Daytona Beach,FL,32114,29.210522,-81.031548,www.cookman.edu,14.0655,,,
Biola University,13800 Biola Ave,La Mirada,CA,90639,33.903955,-118.017319,www.biola.edu,30.4765,,,
Birmingham Southern College,900 Arkadelphia Road,Birmingham,AL,35254,33.51304,-86.851894,www.bsc.edu/,29.64,,,
Black Hills State University,1200 University St,Spearfish,SD,57799,44.495141,-103.871756,www.bhsu.edu,7.328,,,
Blackburn College,700 College Ave,Carlinville,IL,62626,39.288298,-89.872248,www.blackburn.edu,16.825,25,55,14.3
Bloomfield College,467 Franklin St,Bloomfield,NJ,7003,40.794218,-74.19593,www.bloomfield.edu/,24.2575,,,
Bloomsburg University Of Pennsylvania,400 E Second St,Bloomsburg,PA,17815,41.007989,-76.446383,www.bloomu.edu,8.116,,,
Blue Mountain College,201 W Main St,Blue Mountain,MS,38610,34.67209,-89.02924,www.bmc.edu,9.1875,,,
Bluefield College,3000 College Dr,Bluefield,VA,24605,37.245919,-81.244551,www.bluefield.edu,20.5575,15,30,17.8
Bluffton University,1 University Drive,Bluffton,OH,45817,40.896998,-83.897678,www.bluffton.edu,26.7535,,,
Boise State University,1910 University Dr,Boise,ID,83725,43.604403,-116.205789,www.boisestate.edu,5.7605,,,
Boston College,140 Commonwealth Avenue,Chestnut Hill,MA,2467,42.336203,-71.169242,www.bc.edu,43.0615,,,
Boston University,One Silber Way,Boston,MA,2215,42.349581,-71.09984,www.bu.edu,42.2895,45,80,11.9
Bowie State University,14000 Jericho Park Rd,Bowie,MD,20715,39.018185,-76.759721,www.bowiestate.edu,6.52775,,,
Bowling Green State University-Main Campus,220 Mcfall Ctr,Bowling Green,OH,43403,41.377036,-83.637531,www.bgsu.edu,10.277,,,
Bradley University,1501 W Bradley Ave,Peoria,IL,61625,40.698233,-89.616847,www.bradley.edu,27.519,30,58,14.4
Brandeis University,415 South St,Waltham,MA,2454,42.364947,-71.254716,www.brandeis.edu/,43.07475,48,77,9.8
Brenau University,500 Washington Street Se,Gainesville,GA,30501,34.303117,-83.821513,www.brenau.edu,21.693,12,41,13.7
Brescia University,717 Frederica St,Owensboro,KY,42301,37.768835,-87.112384,www.brescia.edu,18.6775,,,
Bridgewater College,402 E College St,Bridgewater,VA,22812,38.378391,-78.969011,www.bridgewater.edu,27.335,22,53,13.2
Bridgewater State University,131 Summer Street,Bridgewater,MA,2325,41.986512,-70.964285,www.bridgew.edu,7.67775,,,
Brigham Young University-Idaho,525 S Center,Rexburg,ID,83460,43.815384,-111.784728,www.byui.edu,3.77275,,,
Brigham Young University-Provo,Main Campus,Provo,UT,84602,40.250851,-111.649281,www.byu.edu,4.635,,,
Brown University,One Prospect Street,Providence,RI,2912,41.826853,-71.402925,www.brown.edu,43.105,87,95,7.6
Bryan College-Dayton,721 Bryan Drive,Dayton,TN,37321,35.497815,-84.998457,www.bryan.edu,19.8675,,,
Bryn Athyn College Of The New Church,801 Tomlinson Rd,Bryn Athyn,PA,19009,40.131358,-75.06093,www.brynathyn.edu,16.554,,,
Bryn Mawr College,101 N Merion Avenue,Bryn Mawr,PA,19010,40.026673,-75.314453,www.brynmawr.edu,41.5825,71,95,12.3
Bucknell University,One Dent Drive,Lewisburg,PA,17837,40.953704,-76.885192,www.bucknell.edu,44.622,49,85,14.2
Buena Vista University,610 W 4Th St,Storm Lake,IA,50588,42.642254,-95.208511,www.bvu.edu,27.8235,,,
Buffalo State Suny,1300 Elmwood Ave,Buffalo,NY,14222,42.9337,-78.880684,www.buffalostate.edu,6.5305,,,
Butler University,4600 Sunset Ave,Indianapolis,IN,46208,39.840167,-86.170687,www.butler.edu,32.503,40,68,10.9
Cabrini College,610 King Of Prussia Rd,Radnor,PA,19087,40.054565,-75.37215,www.cabrini.edu,30.815,8,28,16.5
Caldwell College,120 Bloomfield Avenue,Caldwell,NJ,7006,40.834071,-74.272267,www.caldwell.edu,27.3455,17,42,13.9
California Baptist University,8432 Magnolia Ave,Riverside,CA,92504,33.930255,-117.425821,www.calbaptist.edu,26.371,,,
California Institute Of Technology,1200 E California Blvd,Pasadena,CA,91125,34.139181,-118.125567,www.caltech.edu,38.778,,,
California Lutheran University,60 W Olsen Rd,Thousand Oaks,CA,91360,34.224566,-118.878924,www.callutheran.edu/,33.485,23,52,12.4
California Maritime Academy,200 Maritime Academy Dr,Vallejo,CA,94590,38.069061,-122.231551,www.csum.edu,6.2255,,,
California Polytechnic State University-San Luis Obispo,One Grand Ave,San Luis Obispo,CA,93407,35.302376,-120.661597,www.calpoly.edu,7.7895,,,
California State Polytechnic University-Pomona,3801 West Temple Avenue,Pomona,CA,91768,34.054273,-117.819019,www.csupomona.edu,5.847,,,
California State University-Bakersfield,9001 Stockdale Hwy,Bakersfield,CA,93311,35.350251,-119.104598,www.csub.edu,6.37,,,
California State University-Channel Islands,One University Dr,Camarillo,CA,93012,34.162949,-119.04356,www.csuci.edu,6.01825,,,
California State University-Chico,First And Normal Sts,Chico,CA,95929,39.728003,-121.846333,www.csuchico.edu,6.593,,,
California State University-Dominguez Hills,1000 E Victoria St,Carson,CA,90747,33.865282,-118.258948,www.csudh.edu,5.78475,,,
California State University-East Bay,25800 Carlos Bee Blvd,Hayward,CA,94542,37.65707,-122.058073,www.csueastbay.edu,6.091,,,
California State University-Fresno,5241 N Maple Ave,Fresno,CA,93740,36.814477,-119.748258,www.csufresno.edu,5.91425,,,
California State University-Fullerton,800 N State College Blvd,Fullerton,CA,92831,33.883261,-117.885659,www.fullerton.edu,5.83975,,,
California State University-Long Beach,1250 Bellflower Blvd,Long Beach,CA,90840,33.782818,-118.11204,www.csulb.edu,5.8355,,,
California State University-Los Angeles,5151 State University Dr,Los Angeles,CA,90032,34.066927,-118.168965,www.calstatela.edu,5.847,,,
California State University-Monterey Bay,100 Campus Center,Seaside,CA,93955,36.654238,-121.799464,www.csumb.edu,5.6525,,,
California State University-Northridge,18111 Nordhoff St,Northridge,CA,91330,34.240041,-118.529286,www.csun.edu,6.09625,,,
California State University-Sacramento,6000 J St,Sacramento,CA,95819,38.559901,-121.422416,www.csus.edu,6.254,,,
California State University-San Bernardino,5500 University Pky,San Bernardino,CA,92407,34.183044,-117.322108,www.csusb.edu,6.111,,,
California State University-San Marcos,333 S Twin Oaks Valley Rd,San Marcos,CA,92096,33.128173,-117.158584,www.csusm.edu,6.18525,,,
California State University-Stanislaus,One University Circle,Turlock,CA,95382,37.52577,-120.852511,www.csustan.edu,6.23925,,,
California University Of Pennsylvania,250 University Ave,California,PA,15419,40.066473,-79.884477,www.calu.edu,8.9605,,,
Calvin College,3201 Burton Street Se,Grand Rapids,MI,49546,42.929916,-85.587548,www.calvin.edu,26.3475,29,56,14.8
Campbell University,450 Leslie Campbell Ave,Buies Creek,NC,27506,35.409333,-78.739508,www.campbell.edu,24.62,20,54,21.8
Campbellsville University,1 University Dr,Campbellsville,KY,42718,37.343342,-85.348943,www.campbellsville.edu,21.0615,,,
Canisius College,2001 Main St,Buffalo,NY,14208,42.924919,-78.85088,www.canisius.edu,31.538,16,34,14.6
Capital University,1 College And Main,Columbus,OH,43209,39.954875,-82.937867,www.capital.edu,30.7785,34,66,12.1
Cardinal Stritch University,6801 N Yates Rd,Milwaukee,WI,53217,43.139752,-87.909045,www.stritch.edu,23.965,,,
Carlow University,3333 Fifth Ave,Pittsburgh,PA,15213,40.439851,-79.963927,www.carlow.edu,23.9895,,,
Carnegie Mellon University,5000 Forbes Avenue,Pittsburgh,PA,15213,40.443598,-79.943485,www.cmu.edu/,44.887,60,89,9.2
Carroll College,1601 N Benton Ave,Helena,MT,59625,46.602113,-112.04063,www.carroll.edu,25.815,19,55,17.8
Carroll University,100 N East Ave,Waukesha,WI,53186,43.004879,-88.228141,www.carrollu.edu,25.878,,,
Carson-Newman University,1646 S Russell Ave,Jefferson City,TN,37760,36.121567,-83.492811,www.cn.edu,22.172,,,
Carthage College,2001 Alford Park Dr,Kenosha,WI,53140,42.622474,-87.82102,www.carthage.edu,32.225,20,43,15.9
Case Western Reserve University,10900 Euclid Ave,Cleveland,OH,44106,41.504095,-81.604893,www.case.edu,39.7645,71,93,2.9
Castleton State College,62 Alumni Dr,Castleton,VT,5735,43.608089,-73.181557,www.castleton.edu,9.6785,9,22,14.7
Catholic University Of America,"620 Michigan Avenue, Ne",Washington,DC,20064,38.935796,-76.998961,www.cua.edu,36.1465,,,
Cedar Crest College,100 College Drive,Allentown,PA,18104,40.586909,-75.520004,www.cedarcrest.edu,30.91825,25,58,11.7
Cedarville University,251 N. Main Street,Cedarville,OH,45314,39.750338,-83.812098,www.cedarville.edu,24.954,,,
Centenary College,400 Jefferson St,Hackettstown,NJ,7840,40.848693,-74.832775,www.centenarycollege.edu,29.2785,12,46,9.5
Centenary College Of Louisiana,2911 Centenary Boulevard,Shreveport,LA,71134,32.483335,-93.730834,www.centenary.edu,27.4025,,,
Central College,812 University,Pella,IA,50219,41.400482,-92.92086,www.central.edu,28.5815,31,65,13.5
Central Connecticut State University,1615 Stanley St,New Britain,CT,6050,41.690258,-72.770094,www.ccsu.edu,8.23575,6,24,16.7
Central Michigan University,106 Warriner Hall,Mount Pleasant,MI,48859,43.586742,-84.774813,go.cmich.edu,10.4705,,,
Central State University,1400 Brush Row Rd,Wilberforce,OH,45384,39.716465,-83.876795,www.centralstate.edu,5.77,,,
Central Washington University,400 East University Way,Ellensburg,WA,98926,47.005005,-120.537769,www.cwu.edu,8.2095,8,65,18.1
Chaminade University Of Honolulu,3140 Waialae Avenue,Honolulu,HI,96816,21.28995,-157.807851,www.chaminade.edu,18.9,,,
Chapman University,One University Dr.,Orange,CA,92866,33.793678,-117.851481,www.chapman.edu,41.10375,23,48,12.8
Charleston Southern University,9200 University Blvd,Charleston,SC,29406,32.982629,-80.07133,www.csuniv.edu,21.056,,,
Chestnut Hill College,9601 Germantown Ave,Philadelphia,PA,19118,40.086863,-75.22889,www.chc.edu,29.68375,25,64,8.3
Chicago State University,9501 S. King Drive,Chicago,IL,60628,41.718813,-87.610344,www.csu.edu,8.851,,,
Chowan University,One University Place,Murfreesboro,NC,27855,36.436258,-77.099141,www.chowan.edu/,21.3875,,,
Christian Brothers University,650 East Parkway South,Memphis,TN,38104,35.127437,-89.983241,www.cbu.edu,26.62,16,42,11.1
Christopher Newport University,1 Avenue Of The Arts,Newport News,VA,23606,37.063331,-76.495104,www.cnu.edu,10.2495,3,37,21.2
Citadel Military College Of South Carolina,171 Moultrie St,Charleston,SC,29409,32.796975,-79.961399,www.citadel.edu,10.362,,,
Claflin University,400 Magnolia Street,Orangeburg,SC,29115,33.497624,-80.853997,www.claflin.edu,14.019,,,
Claremont Mckenna College,500 E 9Th St,Claremont,CA,91711,34.101995,-117.706414,www.claremontmckenna.edu/,43.045,,,
Clarion University Of Pennsylvania,840 Wood St,Clarion,PA,16214,41.20901,-79.376887,www.clarion.edu,8.63925,,,
Clark Atlanta University,"223 James P Brawley Drive, S.W.",Atlanta,GA,30314,33.748439,-84.413865,www.cau.edu,19.449,,,
Clarke University,1550 Clarke Dr,Dubuque,IA,52001,42.508776,-90.691776,www.clarke.edu,26.33,,,
Clarkson University,8 Clarkson Ave,Potsdam,NY,13699,44.663761,-74.999947,www.clarkson.edu,37.6725,35,68,15.8
Clayton  State University,2000 Clayton State Boulevard,Morrow,GA,30260,33.594079,-84.328174,www.clayton.edu,4.91475,,,
Clearwater Christian College,3400 Gulf To Bay Blvd,Clearwater,FL,33759,27.963449,-82.697762,www.clearwater.edu,16.39875,,,
Clemson University,201 Sikes Hall,Clemson,SC,29634,34.677329,-82.834463,www.clemson.edu,12.485,37,65,18
Cleveland State University,2121 Euclid Avenue,Cleveland,OH,44115,41.502281,-81.674355,www.csuohio.edu/,9.08275,,,
Coastal Carolina University,103 Tom Trout Drive,Conway,SC,29526,33.797685,-79.013028,www.coastal.edu,9.6675,,,
Coe College,1220 First Ave Ne,Cedar Rapids,IA,52402,41.987646,-91.657405,www.coe.edu,33.2975,29,60,12.7
Coker College,300 E College Ave,Hartsville,SC,29550,34.376861,-80.067877,www.coker.edu,22.74175,15,47,12.1
Colby College,4000 Mayflower Hill Drive,Waterville,ME,4901,44.564211,-69.66337,www.colby.edu,43.57,58,84,10.2
Colgate University,13 Oak Dr,Hamilton,NY,13346,42.818175,-75.535218,www.colgate.edu,43.9525,46,75,10.5
College Of Charleston,66 George St,Charleston,SC,29424,32.783034,-79.936883,www.cofc.edu,10.1185,,,
College Of Mount Saint Vincent,6301 Riverdale Ave,Bronx,NY,10471,40.912814,-73.906349,www.mountsaintvincent.edu,28.545,,,
College Of Our Lady Of The Elms,291 Springfield St,Chicopee,MA,1013,42.14179,-72.601541,www.elms.edu,28.65225,,,
College Of Saint Benedict,37 S. College Ave.,Saint Joseph,MN,56374,45.558609,-94.31902,www.csbsju.edu,35.1745,,,
College Of Saint Elizabeth,2 Convent Rd,Morristown,NJ,7960,40.780905,-74.437515,www.cse.edu,29.0275,,,
College Of Saint Mary,7000 Mercy Rd.,Omaha,NE,68106,41.240022,-96.021423,www.csm.edu,24.884,,,
College Of St Joseph,71 Clement Road,Rutland,VT,5701,43.600526,-73.001301,www.csj.edu,19.86625,,,
College Of The Ozarks,100 Opportunity Avenue,Point Lookout,MO,65726,38.006521,-92.735783,www.cofo.edu,18.0,,,
College Of William And Mary,200 Richmond Road,Williamsburg,VA,23187,37.273294,-76.719631,www.wm.edu,13.58825,,,
Colorado College,14. E Cache La Poudre St.,Colorado Springs,CO,80903,38.848854,-104.822678,www.coloradocollege.edu,41.2655,56,87,11.3
Colorado Mesa University,1100 North Avenue,Grand Junction,CO,81501,39.077842,-108.553518,www.coloradomesa.edu,6.59775,,,
Colorado School Of Mines,1500 Illinois St,Golden,CO,80401,39.749092,-105.222907,www.mines.edu,15.00425,,,
Colorado State University-Fort Collins,102 Administration Building,Fort Collins,CO,80523,40.574759,-105.08083,www.colostate.edu,8.20225,,,
Colorado State University-Pueblo,2200 Bonforte Blvd,Pueblo,CO,81001,38.309219,-104.579846,www.colostate-pueblo.edu,6.63475,,,
Columbia College,5940 Centreville Crest Lane,Centreville,VA,20121,38.837486,-77.433884,not available,25.485,21,67,14.7
Columbia International University,7435 Monticello Rd,Columbia,SC,29203,34.076142,-81.073958,www.ciu.edu,18.28375,,,
Columbia University In The City Of New York,West 116 St And Broadway,New York,NY,10027,40.808286,-73.961885,www.columbia.edu,46.2445,,,
Columbus State University,4225 University Ave,Columbus,GA,31907,32.501556,-84.940796,www.columbusstate.edu,5.331,,,
Concord University,100 Vermillion Street,Athens,WV,24712,37.425177,-81.005703,www.concord.edu,5.574,,,
Concordia College-New York,171 White Plains Rd,Bronxville,NY,10708,40.94253,-73.82212,www.concordia-ny.edu,26.95125,,,
Concordia College At Moorhead,901 S 8Th St,Moorhead,MN,56562,46.865496,-96.770707,www.cord.edu,30.0485,,,
Concordia University-Ann Arbor,4090 Geddes Road,Ann Arbor,MI,48105,42.27416,-83.682448,www.cuaa.edu,22.25225,,,
Concordia University-Chicago,7400 Augusta,River Forest,IL,60305,41.898574,-87.810009,www.cuchicago.edu,25.9815,,,
Concordia University-Irvine,1530 Concordia West,Irvine,CA,92612,33.654095,-117.810583,www.cui.edu,27.8575,,,
Concordia University-Portland,2811 Ne Holman Street,Portland,OR,97211,45.569312,-122.637646,www.cu-portland.edu,25.9765,,,
Concordia University-Saint Paul,1282 Concordia Ave,Saint Paul,MN,55104,44.949759,-93.154861,www.csp.edu,26.325,,,
Concordia University-Texas,11400 Concordia University Dr.,Austin,TX,78726,30.420952,-97.836247,www.concordia.edu,23.525,,,
Concordia University-Wisconsin,12800 N Lake Shore Dr,Mequon,WI,53097,43.254217,-87.916628,www.cuw.edu,23.6875,,,
Converse College,580 E Main St,Spartanburg,SC,29302,34.955534,-81.917881,www.converse.edu,27.7145,35,70,10.2
Cooper Union For The Advancement Of Science And Art,7 East 7Th Street,New York,NY,10003,40.72938,-73.990516,www.cooper.edu,39.3625,,,
Coppin State University,2500 West North Avenue,Baltimore,MD,21216,39.311071,-76.658605,www.coppin.edu,5.899,,,
Corban University,5000 Deer Park Dr Se,Salem,OR,97317,44.88408,-122.958413,www.corban.edu,25.912,,,
Cornell College,600 First St. Sw,Mount Vernon,IA,52314,41.925982,-91.425435,www.cornellcollege.edu,33.77625,33,68,12.2
Cornell University,300 Day Hall,Ithaca,NY,14853,42.448713,-76.476535,www.cornell.edu,42.4945,,,
Cornerstone University,1001 E Beltline Ave Ne,Grand Rapids,MI,49525,42.979966,-85.595328,www.cornerstone.edu,22.7485,,,
Covenant College,14049 Scenic Highway,Lookout Mountain,GA,30750,34.963327,-85.37496,www.covenant.edu,27.704,,,
Creighton University,2500 California Plaza,Omaha,NE,68178,41.265354,-95.9478,www.creighton.edu,32.533,30,60,6.5
Crown College,8700 College View Drive,Saint Bonifacius,MN,55375,44.885372,-93.743015,www.crown.edu,21.7175,,,
Culver-Stockton College,One College Hill,Canton,MO,63435,40.129991,-91.527081,www.culver.edu,22.7375,24,55,14.1
Cumberland University,1 Cumberland Square,Lebanon,TN,37087,36.204097,-86.29995,www.cumberland.edu,19.464,,,
Cuny Bernard M Baruch College,One Bernard Baruch Way (55 Lexington Ave At 24Th St),New York,NY,10010,40.740238,-73.983417,www.baruch.cuny.edu,5.66,,,
Cuny Brooklyn College,2900 Bedford Ave,Brooklyn,NY,11210,40.631912,-73.95312,www.brooklyn.cuny.edu,5.67575,,,
Cuny City College,160 Convent Ave,New York,NY,10031,40.819794,-73.95055,www.ccny.cuny.edu,5.559,,,
Cuny Hunter College,695 Park Ave,New York,NY,10065,40.768669,-73.964795,www.hunter.cuny.edu,5.6215,,,
Cuny John Jay College Of Criminal Justice,899 Tenth Ave,New York,NY,10019,40.770346,-73.988403,www.jjay.cuny.edu,5.5515,,,
Cuny Lehman College,250 Bedford Park Blvd W,Bronx,NY,10468,40.873928,-73.894627,www.lehman.cuny.edu,5.591,,,
Cuny Queens College,65-30 Kissena Blvd,Flushing,NY,11367,40.737771,-73.815387,www.qc.cuny.edu,5.6995,,,
Curry College,1071 Blue Hill Ave,Milton,MA,2186,42.240597,-71.114198,www.curry.edu,32.80125,,,
D'Youville College,320 Porter Ave,Buffalo,NY,14201,42.902566,-78.890809,www.dyc.edu,21.9775,18,47,14.6
Dakota State University,820 N Washington Ave,Madison,SD,57042,44.01271,-97.110723,www.dsu.edu,7.0175,,,
Dakota Wesleyan University,1200 W University Ave,Mitchell,SD,57301,43.695995,-98.030566,www.dwu.edu,21.2775,,,
Dallas Baptist University,3000 Mountain Creek Parkway,Dallas,TX,75211,32.7101,-96.946994,www.dbu.edu,20.5125,,,
Dartmouth College,207 Parkhurst Hall,Hanover,NH,3755,43.705524,-72.288842,www.dartmouth.edu,43.80675,87,99,4.7
Davidson College,102 N. Main Street,Davidson,NC,28035,35.500006,-80.845236,www.davidson.edu/,39.80175,77,96,12
Davis & Elkins College,100 Campus Dr,Elkins,WV,26241,38.930405,-79.845834,www.dewv.edu,23.063,,,
Defiance College,701 N Clinton,Defiance,OH,43512,41.2971,-84.359915,www.defiance.edu,26.5675,10,26,12.8
Delaware State University,1200 N. Dupont Highway,Dover,DE,19901,39.187173,-75.54053,www.desu.edu,7.11475,,,
Delaware Valley College,700 E Butler Ave,Doylestown,PA,18901,40.297941,-75.158309,www.delval.edu,31.156,,,
Delta State University,Hwy 8 West,Cleveland,MS,38733,33.743896,-90.734378,www.deltastate.edu,5.60625,15,48,17.1
