,NAME,ADDRESS,CITY,STATE,ZIP,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTRY,LATITUDE,LONGITUDE,WEBSITE
12,American College of Healthcare Sciences,5940 SW Hood Ave,Portland,OR,97239,(503) 244-0726,3,R,411,Multnomah,US,45.480384,-122.674533,www.achs.edu
13,Universal Technical Institute - Dallas Fort Worth,5151 Regents Blvd,Irving,TX,75063,(972) 505-2200,3,R,809,Dallas,US,32.938104,-97.012679,www.uti.edu
14,International Culinary Center-California,700 West Hamilton Avenue,Campbell,CA,95008,(408) 370-9190,3,R,123,Santa Clara,US,37.293625,-121.961475,www.internationalculinarycenter.com
15,Milan Institute-Las Vegas,710 South Tonopah,Las Vegas,NV,89106,(702) 671-4242,3,N,339,Clark,US,36.161934,-115.170641,www.milaninstitute.edu
16,Virginia College-Savannah,"14045 Abercorn Street, Suite 1503",Savannah,GA,31419,(912) 721-5600,3,N,902,Chatham,US,31.98358,-81.171154,NOT AVAILABLE
17,Virginia College-Columbus,5601 Veterans Parkway,Columbus,GA,31904,(762) 207-1601 ext 5319,3,N,452,Muscogee,US,32.524114,-84.963872,NOT AVAILABLE
18,Donna's Academy of Hair Design,14454 North US Highway 169,Smithville,MO,64089,(816) 532-3334,3,N,52,Clay,US,39.355842,-94.584916,www.donnashairacademymo.com
19,New York School of Esthetics & Day Spa,14 North Broadway,Tarrytown,NY,10591,(914) 631-4432,3,N,60,Westchester,US,41.076665,-73.857795,www.newyorkschoolofesthetics.com
20,Panache Academy of Beauty,232 Water Street,Baraboo,WI,53913,(608) 355-4090,3,N,51,Sauk,US,43.466987,-89.739243,panacheacademyofbeauty.com
21,Finger Lakes Health College of Nursing,196 North Street,Geneva,NY,14456,(315) 787-4005,2,N,133,Ontario,US,42.876431,-76.98784,www.flhealth.org
22,ASI Career Institute,5360 Black Horse Pike,Turnersville,NJ,8012,(856) 232-4677,3,N,34,Gloucester,US,39.755753,-75.046217,ASI.edu
23,Chicago School for Piano Technology (The),2041 West Carroll Avenue,Chicago,IL,60612,(312) 666-7440,2,N,18,Cook,US,41.887443,-87.678394,pianotechschool.com
24,Midwest Technical Institute,113 Market Ridge Drive,Ridgeland,MS,39157,(601) 206-5200 ext 1508,3,N,441,Madison,US,32.402516,-90.178196,deltatechnicalcollege.com/
25,Christine Valmy International School of Esthetics & Cosmetology,285 Changebridge Road,Pine Brook,NJ,7058,(973) 575-1050 ext 107,3,N,42,Morris,US,40.868977,-74.358329,www.christinevalmy.com
26,City College-Hollywood,6565 Taft Street,Hollywood,FL,33024,(954) 977-1777,2,N,82,Broward,US,26.02527,-80.219967,www.citycollege.edu
27,Paul Mitchell The School-Arlington,"309 Curtis Mathes Way, #101",Arlington,TX,76018,(817) 865-6963,3,N,165,Tarrant,US,32.680745,-97.107189,school.paulmitchell.edu/arlington-tx/
28,Rocky Mountain University of Health Professions,561 East 1860 South,Provo,UT,84606,(801) 375-5125,3,N,493,Utah,US,40.209606,-111.649325,www.rmuohp.edu
29,MediaTech Institute-Oceanside,302 Oceanside Boulevard,Oceanside,CA,92054,(760) 231-5368,3,N,55,San Diego,US,33.183038,-117.370735,www.mediatech.edu
30,Christie's Education,"11 West 42nd Street, 8th Floor",New York,NY,10036,(212) 355-1501,3,N,91,New York,US,40.754185,-73.981689,www.christies.edu
31,Prince Institute of Professional Studies,"1300 E. Woodfield Road, Ste 110",Schaumburg,IL,60173,(847) 592-6600,3,N,48,Cook,US,42.043663,-88.046181,www.princeinstitute.edu
32,Palmetto Beauty School,2601 East Main Street,Spartanburg,SC,29307,(864) 579-2550,3,N,22,Spartanburg,US,34.978432,-81.871071,www.palmettocosmo.com
33,Paul Mitchell the School-Fort Myers,9941 Interstate Commerce Drive,Fort Myers,FL,33907,(801) 302-8801 ext 1021,3,N,111,Lee,US,26.495581,-81.792422,fort-myers.paulmitchell.edu/fort-myers-fl
34,Paul Mitchell The School Raleigh,8551 Glenwood Avenue Suite 100,Raleigh,NC,27612,(801) 302-8801 ext 1021,3,N,140,Wake,US,35.882566,-78.740471,raleigh.paulmitchell.edu/raleigh-nc
35,New Community College at CUNY (The),50 West 40th Street,New York,NY,10018,(646) 313-8000,1,N,376,New York,US,40.75303,-73.984055,www.ncc.cuny.edu/index.html
36,Lil Lou's Barber College,4509 Broadway,Gary,IN,46409,(219) 884-9954 ext 1,3,N,19,Lake,US,41.536474,-87.335957,www.lillousbarbercollege.com
37,Bryan University,3215 LeMone Industrial Boulevard,Columbia,MO,65201,(573) 777-5550,3,N,154,Boone,US,38.915735,-92.292597,NOT AVAILABLE
38,Virginia College-Tulsa,5124 South Peoria Avenue,Tulsa,OK,74105,(918) 960-5400,3,N,231,Tulsa,US,36.088311,-95.977211,www.vc.edu/college/tulsa-oklahoma-colleges.cfm
39,Criswell College,4010 Gaston Avenue,Dallas,TX,75246,(214) 821-5433,2,N,400,Dallas,US,32.793513,-96.77669,www.criswell.edu
40,Virginia College-Knoxville,5003 North Broadway Street,Knoxville,TN,37918,(865) 745-4500,3,N,613,Knox,US,36.02984,-83.930752,www.vc.edu
41,Durham Beauty Academy,1221 Sunset Boulevard,West Columbia,SC,29169,(803) 796-9986,3,N,29,Lexington,US,33.99757,-81.080159,columbiaacademyofcosmetology.com
42,Academy of Couture Art,5700 Wilshire Blvd Ste 275,Los Angeles,CA,90036,(310) 360-8888,3,N,29,Los Angeles,US,34.06186,-118.353184,www.academyofcoutureart.edu/
43,Global Institute,Ave Luis Munoz Marin Esq Georgetti,Caguas,PR,725,(787) 744-3010,3,N,38,Caguas,PR,18.2174,-66.033711,globalcaguas.com
44,Regency Beauty Institute-Knoxville,8239 Kingston Pike,Knoxville,TN,37919,(800) 787-6456,3,A,48,Knox,US,35.925289,-84.054376,www.regencybeauty.com
45,Regency Beauty Institute-Fayetteville,4107 Steele Boulevard,Fayetteville,AR,72703,(800) 787-6456,3,A,51,Washington,US,36.126365,-94.156136,www.regencybeauty.com
46,Regency Beauty Institute-Lansing,"3415 West Saginaw Street, Suite E & F",Lansing,MI,48915,(800) 787-6456,3,A,84,Ingham,US,42.738296,-84.571486,www.regencybeauty.com
47,Regency Beauty Institute-Jacksonville-Orange Park,20 Blanding Boulevard,Orange Park,FL,32073,(800) 787-6456,3,A,29,Clay,US,30.188414,-81.740428,www.regencybeauty.com
48,Regency Beauty Institute-Crystal Lake,5657 Northwest Highway,Crystal Lake,IL,60014,(800) 787-6456,3,A,65,McHenry,US,42.223351,-88.308224,www.regencybeauty.com
49,Regency Beauty Institute-Manassas,11740 Sudley Manor Drive,Manassas,VA,20109,(800) 787-6456,3,A,85,Prince William,US,38.785838,-77.519604,www.regencybeauty.com
50,Regency Beauty Institute-Castleton,5939 East 82nd Street,Indianapolis,IN,46250,(800) 787-6456,3,A,64,Marion,US,39.904655,-86.06594,www.regencybeauty.com
51,Regency Beauty Institute-North Nashville,2293 Gallatin Pike North,Madison,TN,37115,(800) 787-6456,3,A,60,Davidson,US,36.306358,-86.682799,www.regencybeauty.com
52,Regency Beauty Institute-Round Rock,"2711 LaFrontera, Suite 110",Round Rock,TX,78681,(800) 787-6456,3,A,85,Williamson,US,30.480457,-97.684117,www.regencybeauty.com
53,Regency Beauty Institute-Merrillville,"2505 Southland Mall, Store 2495D",Merrillville,IN,46410,(800) 787-6456,3,A,124,Lake,US,41.468534,-87.310089,www.regencybeauty.com
54,Regency Beauty Institute-Roanoke,5002 Cross Road,Roanoke,VA,24012,(800) 787-6456,3,A,74,Roanoke,US,37.317217,-79.956619,www.regencybeauty.com
55,Regency Beauty Institute-Toledo,1554 Spring Meadows Drive,Holland,OH,43528,(800) 787-6456,3,A,76,Lucas,US,41.614943,-83.698847,www.regencybeauty.com
56,Regency Beauty Institute-SW Houston,"8201 South Gessner Drive, Suite A",Houston,TX,77036,(800) 787-6456,3,A,61,Harris,US,29.690013,-95.532502,www.regencybeauty.com
57,Everest College-Atlanta West,"2841 Greenbriar Parkway, SW",Atlanta,GA,30331,(678) 500-3400,3,A,773,Fulton,US,33.68842,-84.491821,www.everest.edu/campus/atlanta_west
58,Broadview University-Boise,2750 East Gala Court,Meridian,ID,83642,(208) 577-2900,3,A,179,Ada,US,43.589899,-116.360045,broadviewuniversity.edu
59,Advanced Institute of Hair Design,353 E. Campus Mall,Madison,WI,53715,(608) 250-3100,3,A,118,Dane,US,43.072442,-89.398703,www.vicibeautyschool.com
60,Paul Mitchell The School-Columbia,700 Gervais Street #D,Columbia,SC,29201,(803) 772-2232,3,A,206,Richland,US,33.998218,-81.040607,school.paulmitchell.edu/columbia-sc
61,Paul Mitchell The School-Charleston,"4952 Centre Pointe Drive, Suite 114",North Charleston,SC,29418,(843) 725-0246,3,A,183,Charleston,US,32.874611,-80.022852,school.paulmitchell.edu/charleston-sc
62,Everest College-Melrose Park,"1101 West North Avenue, Suite 1",Melrose Park,IL,60160,(708) 731-4400,3,A,708,Cook,US,41.910526,-87.847839,www.everest.edu/campus/melrose_park
63,Kenneth Shuler School of Cosmetology,3528-A Earl E. Morris Jr. Highway,Greenville,SC,29611,(864) 269-6886,3,A,150,Anderson,US,34.791107,-82.484562,kennethshuler.com
64,South University-Accelerated Graduate Programs,6600 Peachtree Dunwoody Road,Atlanta,GA,30328,(912) 650-5607,3,A,84,Fulton,US,33.937413,-84.354883,www.southuniversity.edu/savannah/business-administration-degree-amba-215312.aspx
65,South University-The Art Institute of Fort Worth,"7000 Calmont Avenue, Suite 150",Fort Worth,TX,76116,(817) 210-0808,3,A,468,Tarrant,US,32.734886,-97.438289,www.artinstitutes.edu/fort-worth/
66,South University-Novi,41555 Twelve Mile Road,Novi,MI,48377,(248) 675-0200,3,A,361,Oakland,US,42.495505,-83.457357,www.southuniversity.edu
67,Northwest College,"1020 Green Acres Road, # 15",Eugene,OR,97401,(541) 344-0397,2,A,251,Lane,US,44.092049,-123.096946,www.nwcollege.edu
68,Northwest College,8345 South West Nyberg Road,Tualatin,OR,97062,(503) 218-2265,2,A,141,Washington,US,45.382946,-122.762464,www.nwcollege.edu
69,Harrison College-Morrisville,2001 Carrington Mill Boulevard,Morrisville,NC,27560,(888) 544-4422 ext 2,3,A,228,Wake,US,35.859091,-78.8405,harrison.edu
70,Trend Setters' Academy of Beauty Culture,8111 Preston Highway,Louisville,KY,40219,(502) 962-7710,3,A,127,Jefferson,US,38.134695,-85.684194,NOT AVAILABLE
71,National University College-Caguas,190 Ave. Gautier Ben?tez esquina Ave. Federico Degetau,Caguas,PR,725,(787) 653-4733 ext 4500,3,A,504,Caguas,PR,18.212224,-66.050684,www.nuc.edu
72,Beauty Schools of America,1011 5th Street,Miami Beach,FL,33139,(305) 824-2500,3,A,331,Miami-Dade,US,25.774802,-80.138689,www.bsa.edu
73,CET-Soledad,"930 Los Coches Drive, Suite 103",Soledad,CA,93960,(408) 287-7924,2,A,139,Monterey,US,36.414544,-121.3166,cetweb.org/index.php
74,MarJon School of Beauty Culture,144 Main Street,Lockport,NY,14094,(716) 433-1028,3,A,37,Niagara,US,43.17039,-78.689042,www.marjonbeauty.com/
75,Houston Training Schools-Southwest,7045 Southwest Freeway,Houston,TX,77074,(281) 867-9099,3,A,193,Harris,US,29.707732,-95.50831,houstontrainingschools.net
76,Vanguard College of Cosmetology-Metairie,3321 Hessmer Avenue,Metairie,LA,70002,(504) 212-3321 ext 111,3,A,114,Jefferson,US,30.00444,-90.163354,vanguard.paulmitchell.edu
77,New England Tractor Trailer Training School of Massachusetts,1600 Osgood Street,North Andover,MA,1845,(978) 965-2969,3,A,265,Essex,US,42.732042,-71.118272,www.nettts.com
78,Heritage College-Columbus,"150 Taylor Station, 2nd Floor",Columbus,OH,43213,(614) 328-4700,3,A,528,Franklin,US,39.982748,-82.841635,www.heritage-education.com
79,Utah College of Massage Therapy-Vegas,"2381 East Windmill Lane, Suite 14",Las Vegas,NV,89123,(702) 456-4325,3,A,372,Clark,US,36.041332,-115.120928,www.steinered.com/
80,Utah College of Massage Therapy-Tempe,"1409 West Southern Avenue, Suite 6",Tempe,AZ,85282,(480) 983-2222,3,A,361,Maricopa,US,33.391682,-111.962379,www.steinered.com/
81,Utah College of Massage Therapy-Phoenix,"10000 North 31 Avenue, Metro Center Business Park, Bldg D, #100",Phoenix,AZ,85051,(602) 331-4325,3,A,421,Maricopa,US,33.577266,-112.126573,www.steinered.com/
82,Utah College of Massage Therapy-Westminster,8991 B Harlan Street Suite B,Westminster,CO,80031,(303) 426-5621,3,A,277,Jefferson,US,39.859033,-105.065226,www.steinered.com/
83,Utah College of Massage Therapy-Aurora,14107A East Exposition Avenue,Aurora,CO,80012,(303) 366-4325,3,A,259,Arapahoe,US,39.704904,-104.825098,www.steinered.com/
84,Sanford-Brown College-Portland,600 South West 10th Avenue,Portland,OR,97205,(503) 265-1700,3,A,187,Multnomah,US,45.520334,-122.681749,www.sanfordbrown.edu/portland
85,Tint School of Makeup & Cosmetology-Grand Prairie,311-A East Highway 303,Grand Prairie,TX,75051,(214) 956-0088 ext 1176,3,A,23,Dallas,US,32.708281,-97.000966,tintschoolofmakeupandcosmetology.com/
86,Dewey University,"Carr# 182 Km 0.2, Catalina Morales Street",Yabucoa,PR,767,(787) 266-1515 ext 270,2,A,93,Yabucoa,PR,18.070636,-65.896596,jdc.edu
87,Dewey University,"State. Road #2 Km. 86.9, Bo. Pueblo",Hatillo,PR,659,(787) 544-1515,2,A,483,Hatillo,PR,18.41062,-66.796532,jdc.edu
88,Shear Learning Academy of Cosmetology,241 North Main Street,Decatur,IL,62523,(217) 425-9117,3,N,28,Macon,US,39.843265,-88.956239,www.shearlearning.com
89,University of Cosmetology Arts & Sciences,724 East Expressway 83,La Joya,TX,78560,(956) 581-8227,3,N,96,Hidalgo,US,26.246009,-98.467957,www.ucastx.com
90,Preferred College of Nursing,"6551 Van Nuys Boulevard, Suite 200",Van Nuys,CA,91401,(818) 902-3708,3,N,62,Los Angeles,US,34.189885,-118.449172,www.pcnvannuys.com
91,Bryant & Stratton College-Akron,190 Montrose West Avenue,Copley,OH,44321,(330) 598-2500,3,N,204,Summit,US,41.128187,-81.655083,www.bryantstratton.edu
92,Annenberg School of Nursing,7150 Tampa Avenue,Reseda,CA,91335,(818) 757-4431,2,N,18,Los Angeles,US,34.200129,-118.552723,www.jha.org/annenberg/
93,American Medical Academy,12215 SW 112 Street,Miami,FL,33186,(305) 271-6555,3,N,158,Miami-Dade,US,25.663377,-80.393587,WWW.AMA.EDU
94,Tooele Applied Technology College,66 West Vine Street,Tooele,UT,84074,(435) 248-1800,1,N,51,Tooele,US,40.530885,-112.300433,www.tatc.edu
95,Chamberlain College of Nursing-Georgia,"5775 Peachtree Dunwoody Road, NE, Suite A100",Atlanta,GA,30342,(404) 250-8500,3,N,41,Fulton,US,33.911532,-84.350359,www.chamberlain.edu
96,Chamberlain College of Nursing-Indiana,"9100 Keystone Crossing, Suite 600",Indianapolis,IN,46240,(317) 816-7335,3,N,13,Marion,US,39.919016,-86.111221,www.chamberlain.edu
97,Carrington College-Mesquite,3733 West Emporium Circle,Mesquite,TX,75150,(972) 649-0186,3,N,23,Dallas,US,32.815899,-96.625985,www.carrington.edu
98,Janus University,1601 Dove Street Suite 205,Newport Beach,CA,92660,(949) 757-1155,3,N,5,Orange,US,33.66418,-117.866516,NOT AVAILABLE
99,Universidad Internacional Iberoamericana,"Carr. 658, Km. 1.3, Barrio Arenalejos, S?ctor Palache",Arecibo,PR,613,(787) 878-2126,2,N,96,Arecibo,PR,18.413123,-66.703599,www.unini.org
100,Sessions College for Professional Design,"350 S. Mill Avenue, Suite B-104",Tempe,AZ,85281,(480) 212-1704,3,N,44,Maricopa,US,33.426942,-111.940456,www.sessions.edu
101,"Southeastern Technical Careers Institute, Inc.","3111 South Dixie Highway, Suite 138",West Palm Beach,FL,33405,(561) 791-6194,3,N,10,Palm Beach,US,26.685445,-80.055407,Stciflorida.com
102,Virginia College-Shreveport/Bossier City,2950 East Texas Street,Bossier City,LA,71111,(318) 741-8020,3,N,169,Bossier,US,32.526653,-93.703797,www.vc.edu/campus/shreveport-louisiana-college.cfm
103,Strayer University-Wisconsin,9000 West Chester Street,Milwaukee,WI,53214,(414) 203-7800,3,N,45934,Milwaukee,US,43.028827,-88.024559,www.strayer.edu/campus/milwaukee
104,Strayer University-Indiana,9025 N. River Road,Indianapolis,IN,46240,(317) 810-0000,3,N,148,Marion,US,39.918179,-86.096313,www.strayer.edu/campus/north-indianapolis
105,Tulsa Welding School,1750 Southside Boulevard,Jacksonville,FL,32216,(904) 646-9353,3,N,235,Duval,US,30.313564,-81.56007,www.weldingschool.com
106,Herzing University,3 Point Place,Madison,WI,53719,(608) 620-2200,3,N,41,Dane,US,43.055358,-89.514893,NOT AVAILABLE
107,Regency Beauty Institute-Hoover,1775 Montgomery Highway South,Hoover,AL,35244,(800) 787-6456,3,N,41,Jefferson,US,33.379671,-86.802573,www.regencybeauty.com
108,Regency Beauty Institute-San Antonio,"309 North West Loop 410, Suite 1",San Antonio,TX,78216,(800) 787-6456,3,N,24,Bexar,US,29.523026,-98.49778,www.regencybeauty.com
109,Regency Beauty Institute-Tampa,14360 North Dale Mabry Highway,Tampa,FL,33609,(800) 787-6456,3,N,27,Hillsborough,US,28.077123,-82.508287,www.regencybeauty.com
110,Regency Beauty Institute-Clearwater,25973 US Highway 19 North,Clearwater,FL,33763,(800) 787-6456,3,N,19,Pinellas,US,28.00839,-82.728251,NOT AVAILABLE
111,Regency Beauty Institute-Newport News,"12365 Hornsby Lane, Suite C",Newport News,VA,23609,(800) 787-6456,3,N,104,Newport News,US,37.114487,-76.504433,NOT AVAILABLE
112,Regency Beauty Institute-Lewisville,"2325 South Stemmons Freeway, Suite 404",Lewisville,TX,75067,(800) 787-6456,3,N,36,Denton,US,33.007239,-96.975472,NOT AVAILABLE
113,Regency Beauty Institute-Dallas,"13465 Inwood Road, Suite 185",Dallas,TX,75244,(800) 787-6456,3,N,24,Dallas,US,32.929861,-96.822881,NOT AVAILABLE
114,Regency Beauty Institute-Plano,1017 North Central Expressway,Plano,TX,75075,(800) 787-6456,3,N,36,Collin,US,33.015833,-96.709807,NOT AVAILABLE
115,Empire Beauty School-Virginia Beach,116 South Independence Boulevard,Virginia Beach,VA,23462,(757) 355-5530,3,N,32,Virginia Beach,US,36.838586,-76.135527,www.empire.edu
116,Concorde Career Institute-San Antonio,4803 NW Loop 410,San Antonio,TX,78229,(210) 428-2000,3,A,449,Bexar,US,29.490055,-98.582369,www.concorde.edu
117,Sanford-Brown College-Columbus,2800 Corporate Exchange Parkway,Columbus,OH,43231,(847) 781-3600,3,N,123,Franklin,US,40.103378,-82.942644,www.sanfordbrown.edu/Columbus
118,Ross Medical Education Center,1064 Suncrest Towne Centre Drive,Morgantown,WV,26505,(304) 598-3689,3,N,65,Monongalia,US,39.653428,-79.942253,www.rosseducation.edu
119,Ecotech Institute,1400 South Abilene Street,Aurora,CO,80012,(303) 586-5290,3,A,615,Arapahoe,US,39.691287,-104.826865,ecotechinstitute.com
120,Paul Mitchell the School-Ogden,2263 Grant Avenue,Ogden,UT,84401,(801) 440-0078,3,N,52,Weber,US,41.225236,-111.974235,school.paulmitchell.edu/ogden-ut
121,ATI Career Training Center-Lewisville,1310 South Stemmons Freeway,Lewisville,TX,75067,(469) 293-2880,3,M,0,Denton,US,33.02849,-96.989927,www.aticareertraining.edu
122,CollegeAmerica Denver,1026 Maxwell Street,Colorado Springs,CO,80906,(719) 622-3600 ext 1200,3,N,31,El Paso,US,38.774586,-104.781107,collegeamerica.edu
123,Everest Institute-Bensalem,3050 Tillman Drive,Bensalem,PA,19020,(267) 223-2901,3,N,449,Bucks,US,40.114271,-74.958746,bensalem.everestinstitute.edu/
124,Johnson & Wales University-Online,8 Abbott Park Pl,Providence,RI,2903,(401) 598-1000,2,A,86,Providence,US,41.820213,-71.413674,www.jwu.edu/content.aspx?id=55426
125,Golf Academy of America-Farmers Branch,"1861 Valley View Lane, Suite 100",Farmers Branch,TX,75234,(972) 763-8100,3,N,126,Dallas,US,32.9228,-96.917191,golfacademy.edu
126,Everest College-Fort Worth South,La Gran Plaza 4200 S FWYSte 4200,Ft Worth,TX,76115,(817) 566-7700,3,A,582,Tarrant,US,32.686969,-97.325083,www.everest.edu/campus/fort_worth_south
127,Utah College of Massage Therapy,1055 S. Sherman Street,Richardson,TX,75801,(972) 231-4590,3,N,241,Dallas,US,32.937534,-96.740564,www.texasmassagetherapy.com
128,Everest College-Santa Ana,500 West Santa Ana Blvd,Santa Ana,CA,92701,(714) 656-1000 ext 121,3,A,545,Orange,US,33.747615,-117.873219,www.everest.edu/campus/santa_ana
129,Miami Ad School-New York,10 Jay Street,Brooklyn,NY,11201,(305) 538-3193,3,N,62,Kings,US,40.704431,-73.986638,www.miamiadschool.com
130,Lacy Cosmetology School,2070 Sam Rittenberg Blvd.,Charleston,SC,29407,(803) 648-6181,3,N,7,Charleston,US,32.797541,-80.032151,www.lacyschools.com
131,Dade Medical College,2601 South Military Trail,West Palm Beach,FL,33415,(305) 644-1171,3,N,144,Palm Beach,US,26.638528,-80.115066,NOT AVAILABLE
132,Dade Medical College,9550 Regency Square Boulevard,Jacksonville,FL,32225,(305) 644-1171,3,N,46,Duval,US,30.32372,-81.551209,www.dademedical.edu
133,WestMed College,"3031 Tisch Way, 1st Floor, Ste 8PW",San Jose,CA,95128,(408) 236-1170,2,N,402,Santa Clara,US,37.317499,-121.94767,www.westmedcollege.edu
134,Larry's Barber College,10456 S. Halsted Street,Chicago,IL,60628,(773) 779-2100,1,N,35,Cook,US,41.703711,-87.643207,www.larrysbarbercollege.com
135,Lewistown Hospital School of Nursing,400 Highland Avenue,Lewistown,PA,17044,(717) 242-7930 ext 7970,2,A,75,Mifflin,US,40.61848,-77.567312,www.lewistownhospital.org
136,Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,33012,(305) 825-7660,3,N,91,Miami-Dade,US,25.863099,-80.307231,www.futuracareerinstitute.net
137,Access Careers,25 Elm Place,Brooklyn,NY,11201,(718) 643-9060 ext 1005,3,N,678,Kings,US,40.689431,-73.983834,www.accesscareers.edu
138,The Hair Design School-Charlotte,4901-B N Tyron St,Charlotte,NC,28213,(800) 920-4593,3,A,160,Mecklenburg,US,35.258559,-80.783745,www.empire.edu/
139,Moreno Valley College,16130 Lasselle St,Moreno Valley,CA,92551,(951) 571-6100,1,A,8918,Riverside,US,33.887063,-117.202554,www.mvc.edu/
140,Flair Beauty College,18914 Soledad Canyon Road,Canyon Country,CA,91351,(661) 251-3261 ext 2,3,N,75,Los Angeles,US,34.41485,-118.465239,flairbeautycollege.com
141,The Hair Design School-Durham,5106 N Roxboro Rd,Durham,NC,27704,(800) 920-4593,3,A,83,Durham,US,36.068656,-78.90633,www.empire.edu/
142,Hair Design Institute at Fifth Avenue-New York,"500 8th Ave., 8th Floor",New York,NY,10018,(212) 868-7171,3,A,276,New York,US,40.752971,-73.992381,hairdesigninstitute.com
143,The Hair Design School-E Greensboro,2001 E Wendover Ave,Greensboro,NC,27405,(800) 920-4593,3,A,185,Guilford,US,36.08751,-79.759502,www.empire.edu/
144,Onondaga School of Therapeutic Massage-Rochester,302 N Goodman St Ste 200,Rochester,NY,14607,(585) 241-0070,3,A,87,Monroe,US,43.159086,-77.584781,www.ostm.edu/
145,The Hair Design School-Winston-Salem,7740 N Point Blvd,Winston-Salem,NC,27106,(800) 920-4593,3,A,134,Forsyth,US,36.151383,-80.284787,www.empire.edu/
146,Norco College,2001 Third St,Norco,CA,92860,(951) 372-7000,1,A,10137,Riverside,US,33.916752,-117.569994,www.rcc.edu/norco/index.cfm
147,Empire Beauty School-West Palm,4258  Okeechobee Blvd,West Palm Beach,FL,33409,(800) 920-4593,3,A,92,Palm Beach,US,26.705541,-80.107401,www.empire.edu/
148,Daymar College-Louisville,3309 Collins Lane,Louisville,KY,40245,(502) 400-4075,3,A,86,Jefferson,US,38.291264,-85.516003,www.daymarcollege.edu/
149,Empire Beauty School-Pineville,8700 Pineville-Matthews Rd,Charlotte,NC,28226,(800) 920-4593,3,A,190,Mecklenburg,US,35.089561,-80.865338,www.empire.edu/cosmetology-schools/north-carolina/charlotte-pineville
150,Dorsey Business Schools-Saginaw,4390 Bay Rd,Saginaw,MI,48603,(989) 249-1926,3,A,402,Saginaw,US,43.47058,-83.973096,dorsey.edu
151,The Hair Design School-N Memphis,3250 Coleman Rd,Memphis,TN,38128,(800) 920-4593,3,A,78,Shelby,US,35.214769,-89.91727,www.empire.edu/
152,Milan Institute of Cosmetology-La Quinta,"47120 Dune Palms Ste C-2, D and E",La Quinta,CA,92253,(707) 771-5520,3,A,152,Riverside,US,33.706019,-116.276905,www.milaninstitute.edu
153,Milan Institute-Nampa,1021 W. Hemingway,Nampa,ID,83651,(208) 461-0616,3,A,333,Canyon,US,43.600657,-116.594066,www.milaninstitute.edu
154,Broadview University-Salt Lake City,240 E Morris Ave,Salt Lake City,UT,84115,(801) 300-4300,3,A,154,Salt Lake,US,40.717355,-111.88449,www.broadviewuniversity.edu/
155,Milan Institute of Cosmetology-El Paso,"1580 George Dieter Dr., Ste 207",El Paso,TX,79925,(915) 857-4444,3,A,391,El Paso,US,31.749728,-106.300222,www.milaninstitute.edu
156,Bryant & Stratton College-Hampton,"4410 East Claiborne Square, Suite 233",Hampton,VA,23666,(757) 896-6001,3,A,676,Hampton,US,37.043869,-76.392725,www.bryantstratton.edu
